">epoch=228, lrate=0.001, train_error=0.373, train_acc=0.800, test_error=0.454, test_acc=0.757"
">epoch=229, lrate=0.001, train_error=0.372, train_acc=0.803, test_error=0.456, test_acc=0.759"
">epoch=230, lrate=0.001, train_error=0.371, train_acc=0.803, test_error=0.456, test_acc=0.756"
">epoch=231, lrate=0.001, train_error=0.370, train_acc=0.804, test_error=0.457, test_acc=0.758"
">epoch=232, lrate=0.001, train_error=0.369, train_acc=0.806, test_error=0.458, test_acc=0.760"
">epoch=233, lrate=0.001, train_error=0.368, train_acc=0.807, test_error=0.459, test_acc=0.760"
">epoch=234, lrate=0.001, train_error=0.367, train_acc=0.807, test_error=0.459, test_acc=0.759"
">epoch=235, lrate=0.001, train_error=0.366, train_acc=0.806, test_error=0.460, test_acc=0.761"
">epoch=236, lrate=0.001, train_error=0.365, train_acc=0.807, test_error=0.462, test_acc=0.759"
">epoch=237, lrate=0.001, train_error=0.364, train_acc=0.808, test_error=0.464, test_acc=0.756"
">epoch=238, lrate=0.001, train_error=0.364, train_acc=0.807, test_error=0.465, test_acc=0.754"
">epoch=239, lrate=0.001, train_error=0.363, train_acc=0.808, test_error=0.466, test_acc=0.755"
">epoch=240, lrate=0.001, train_error=0.362, train_acc=0.809, test_error=0.468, test_acc=0.754"
">epoch=241, lrate=0.001, train_error=0.361, train_acc=0.808, test_error=0.469, test_acc=0.754"
">epoch=242, lrate=0.001, train_error=0.361, train_acc=0.808, test_error=0.469, test_acc=0.756"
">epoch=243, lrate=0.001, train_error=0.361, train_acc=0.808, test_error=0.469, test_acc=0.758"
">epoch=244, lrate=0.001, train_error=0.361, train_acc=0.808, test_error=0.469, test_acc=0.757"
">epoch=245, lrate=0.001, train_error=0.360, train_acc=0.809, test_error=0.469, test_acc=0.756"
">epoch=246, lrate=0.001, train_error=0.360, train_acc=0.809, test_error=0.471, test_acc=0.757"
">epoch=247, lrate=0.001, train_error=0.360, train_acc=0.811, test_error=0.471, test_acc=0.756"
">epoch=248, lrate=0.001, train_error=0.359, train_acc=0.811, test_error=0.471, test_acc=0.754"
">epoch=249, lrate=0.001, train_error=0.359, train_acc=0.811, test_error=0.471, test_acc=0.754"
">epoch=250, lrate=0.001, train_error=0.359, train_acc=0.811, test_error=0.472, test_acc=0.750"
">epoch=251, lrate=0.001, train_error=0.360, train_acc=0.811, test_error=0.473, test_acc=0.749"
">epoch=252, lrate=0.001, train_error=0.360, train_acc=0.812, test_error=0.475, test_acc=0.748"
">epoch=253, lrate=0.001, train_error=0.360, train_acc=0.812, test_error=0.476, test_acc=0.748"
">epoch=254, lrate=0.001, train_error=0.361, train_acc=0.812, test_error=0.478, test_acc=0.747"
">epoch=255, lrate=0.001, train_error=0.362, train_acc=0.812, test_error=0.477, test_acc=0.747"
">epoch=256, lrate=0.001, train_error=0.362, train_acc=0.811, test_error=0.476, test_acc=0.745"
">epoch=257, lrate=0.001, train_error=0.363, train_acc=0.809, test_error=0.476, test_acc=0.746"
">epoch=258, lrate=0.001, train_error=0.363, train_acc=0.810, test_error=0.475, test_acc=0.750"
">epoch=259, lrate=0.001, train_error=0.364, train_acc=0.809, test_error=0.474, test_acc=0.752"
">epoch=260, lrate=0.001, train_error=0.365, train_acc=0.808, test_error=0.473, test_acc=0.751"
">epoch=261, lrate=0.001, train_error=0.365, train_acc=0.807, test_error=0.471, test_acc=0.750"
">epoch=262, lrate=0.001, train_error=0.366, train_acc=0.807, test_error=0.468, test_acc=0.751"
">epoch=263, lrate=0.001, train_error=0.366, train_acc=0.806, test_error=0.467, test_acc=0.753"
">epoch=264, lrate=0.001, train_error=0.367, train_acc=0.806, test_error=0.464, test_acc=0.751"
">epoch=265, lrate=0.001, train_error=0.367, train_acc=0.805, test_error=0.462, test_acc=0.752"
">epoch=266, lrate=0.001, train_error=0.367, train_acc=0.805, test_error=0.461, test_acc=0.753"
">epoch=267, lrate=0.001, train_error=0.367, train_acc=0.806, test_error=0.460, test_acc=0.755"
">epoch=268, lrate=0.001, train_error=0.368, train_acc=0.806, test_error=0.460, test_acc=0.756"
">epoch=269, lrate=0.001, train_error=0.368, train_acc=0.806, test_error=0.459, test_acc=0.757"
">epoch=270, lrate=0.001, train_error=0.368, train_acc=0.806, test_error=0.459, test_acc=0.757"
">epoch=271, lrate=0.001, train_error=0.368, train_acc=0.805, test_error=0.458, test_acc=0.756"
">epoch=272, lrate=0.001, train_error=0.369, train_acc=0.806, test_error=0.458, test_acc=0.757"
">epoch=273, lrate=0.001, train_error=0.369, train_acc=0.806, test_error=0.457, test_acc=0.758"
">epoch=274, lrate=0.001, train_error=0.370, train_acc=0.806, test_error=0.457, test_acc=0.760"
">epoch=275, lrate=0.001, train_error=0.370, train_acc=0.805, test_error=0.457, test_acc=0.759"
">epoch=276, lrate=0.001, train_error=0.370, train_acc=0.805, test_error=0.456, test_acc=0.760"
">epoch=277, lrate=0.001, train_error=0.371, train_acc=0.805, test_error=0.455, test_acc=0.760"
">epoch=278, lrate=0.001, train_error=0.371, train_acc=0.805, test_error=0.455, test_acc=0.758"
">epoch=279, lrate=0.001, train_error=0.371, train_acc=0.804, test_error=0.455, test_acc=0.758"
